n	moy	max
1	26.7404	43
2	27.3409	43
3	26.7338	44
4	26.6767	43
5	27.3999	44
6	28.0102	43
7	28.6313	43
8	27.0452	43
9	29.3474	41
10	29.364	43
11	27.6974	44
12	27.8636	44
13	28.2884	43
14	27.9875	43
15	27.1099	43
16	26.6968	43
17	27.2155	43
18	27.0196	43
19	26.6576	43
20	26.993	44
21	27.5961	40
22	27.6405	41
23	27.7536	40
24	28.7368	39
25	29.1705	40
26	26.5079	39
27	28.339	39
28	28.4452	43
29	31.4123	40
30	29.2015	37
31	27.6823	37
32	28.8363	40
33	29.482	40
34	27.0751	43
35	29.1173	44
36	27.3127	34
37	31.4353	40
38	29.0572	38
39	29.6726	37
40	27.347	39
41	28.0173	44
42	27.9859	43
43	27.7591	43
44	27.1508	43
45	27.5841	41
46	27.4581	39
47	26.7132	43
48	28.521	43
49	28.6699	41
50	27.9215	43
51	27.1172	43
52	26.8066	42
53	28.1066	41
54	26.5476	39
55	27.1251	43
56	27.2056	43
57	27.1218	41
58	27.6807	43
59	27.543	39
60	27.1492	40
61	27.2751	43
62	28.5651	43
63	27.1011	43
64	27.1387	43
65	27.3099	43
66	27.2172	43
67	25.9604	43
68	26.3049	43
69	26.3536	43
70	27.319	43
71	26.6707	43
72	29.8759	44
73	30.3415	43
74	29.2345	44
75	28.5736	44
76	28.7417	43
77	29.9261	43
78	30.6152	43
79	27.6768	43
80	28.9685	43
81	28.1232	43
82	27.7962	43
83	27.5747	43
84	27.5532	43
85	27.5865	43
86	27.785	43
87	26.5353	43
88	27.3539	43
89	26.9274	43
90	27.0715	43
91	27.5846	43
92	27.1354	43
93	26.8329	39
