n	moy	max
1	44.6472	58
2	43.9057	58
3	44.6982	58
4	46.217	58
5	46.5384	58
6	43.7041	57
7	45.5154	58
8	43.6656	57
9	46.047	62
10	45.9529	58
11	46.2464	58
12	47.112	62
13	46.6993	60
14	41.7125	60
15	46.8121	63
16	46.4022	62
17	45.1822	62
18	46.0912	62
19	45.5319	59
20	47.6065	62
21	45.1568	62
22	45.8306	60
23	48.3834	63
24	46.5879	62
25	42.0829	57
26	44.2931	59
27	45.6882	60
28	42.9663	58
29	42.7919	59
30	43.2574	59
31	44.4983	59
32	42.9717	54
33	44.8095	60
34	43.5425	58
35	44.5885	59
36	44.7822	58
37	46.3137	60
38	45.402	59
39	40.1246	56
40	46.3387	62
41	51.1402	63
42	47.4619	64
43	49.0395	63
44	49.9581	63
45	49.9429	63
46	49.2885	61
47	51.5048	63
48	50.6943	63
49	46.9846	60
50	47.1946	64
51	47.4214	60
52	48.2328	61
53	48.466	63
54	49.329	62
55	50.372	63
56	48.7613	62
57	49.6155	64
58	51.4663	66
59	50.1381	64
60	47.3495	59
61	48.5735	62
62	51.2813	65
63	49.3689	62
64	49.6065	63
65	51.2267	64
66	49.972	63
67	49.9637	64
68	49.8856	62
69	51.0804	64
70	53.0499	66
71	51.5522	64
72	50.1226	62
73	47.2815	60
74	44.8391	60
75	45.3798	60
76	46.6482	60
77	47.1202	60
78	48.99	65
79	49.4993	64
80	46.8178	61
81	48.3463	63
82	49.187	64
83	50.5445	65
84	50.4436	64
85	47.1744	61
86	45.3542	59
87	46.9808	60
88	47.9714	62
89	48.6248	63
90	48.561	62
91	50.0057	65
92	50.5942	64
93	48.2703	61
94	45.3967	59
95	46.3397	59
96	46.9048	60
97	46.5439	60
98	47.7152	62
99	48.8903	64
100	49.9176	64
101	46.374	59
102	46.8954	60
103	48.388	60
104	47.049	61
105	50.1355	65
106	49.9801	64
107	46.7473	61
108	47.8698	62
109	48.9644	63
110	48.9935	63
111	48.2405	62
112	48.87	63
113	48.9524	62
114	50.4943	65
115	50.243	64
116	51.3921	64
117	49.9916	63
118	47.8635	61
119	45.5449	58
120	43.907	57
121	43.6414	61
122	47.6944	63
123	47.2467	63
124	47.0531	60
125	46.8933	60
126	47.721	62
127	48.8635	63
128	48.8544	62
129	44.2701	60
130	45.6522	62
131	46.1253	63
132	44.7052	58
133	47.1695	63
134	45.1851	60
135	46.1361	63
136	46.2616	61
137	47.7532	63
138	48.0027	63
139	43.5718	58
140	43.6721	58
141	45.6804	58
142	45.7134	60
143	44.4367	59
144	45.9753	62
145	46.2079	59
146	46.6116	63
147	48.4231	63
148	47.4717	62
149	43.3232	57
150	44.5495	60
151	43.6841	58
152	45.8901	60
153	43.1823	59
154	44.8794	60
155	44.1095	59
156	44.351	59
157	44.0179	59
158	45.7494	61
159	44.0827	59
160	44.4129	58
